level,qoi_name,model_type,n_spargers,optimal_qoi_mean,optimal_qoi_ci95
lev1,qoi,nn,3,20.777002658440317,4.967135709603668
lev1,qoi,nn,4,29.33137591333509,6.052693630554447
lev1,qoi,nn,5,28.728691798440696,7.782960094406028
lev1,qoi,nn,6,28.00670375941676,5.250816613929773
lev1,qoi,nn,7,26.578156696520818,6.211729307089006
lev1,qoi,nn,8,25.752087994106507,5.750639405478412
lev1,qoi,nn,9,33.39666583737389,6.095517715388951
lev1,qoi_kla,nn,3,2.1630368613455053e-12,5.646098656009841e-13
lev1,qoi_kla,nn,4,2.1810997777515023e-12,7.571885282140608e-13
lev1,qoi_kla,nn,5,2.2262035694651713e-12,7.283823393852845e-13
lev1,qoi_kla,nn,6,1.919642208364238e-12,7.524940381917437e-13
lev1,qoi_kla,nn,7,2.270919638464332e-12,6.688943592320943e-13
lev1,qoi_kla,nn,8,2.1171600394206276e-12,7.240310078697636e-13
lev1,qoi_kla,nn,9,2.704915189390905e-12,8.320571300855766e-13
lev1,qoi_sum,nn,3,34.330421521427105,1.5979910200579341
lev1,qoi_sum,nn,4,36.93759964547867,2.6326362889827815
lev1,qoi_sum,nn,5,37.37891391484199,1.9716201424039503
lev1,qoi_sum,nn,6,37.88222566926674,2.0477026431202336
lev1,qoi_sum,nn,7,38.30321346647001,1.5016840895363077
lev1,qoi_sum,nn,8,38.52937161920444,1.9463582167721076
lev1,qoi_sum,nn,9,38.44378376449916,2.5630231918745983
lev1,qoi_sum_kla,nn,3,7.804334100887237e-06,1.3813566415684952e-07
lev1,qoi_sum_kla,nn,4,7.8251175178686e-06,1.1370595131964046e-07
lev1,qoi_sum_kla,nn,5,7.734468577471196e-06,2.8786262283158653e-07
lev1,qoi_sum_kla,nn,6,7.827537738907247e-06,1.5470669237093723e-07
lev1,qoi_sum_kla,nn,7,7.704540831548307e-06,2.2034748906434659e-07
lev1,qoi_sum_kla,nn,8,7.739101235354367e-06,2.6253140249004177e-07
lev1,qoi_sum_kla,nn,9,7.619820316451526e-06,3.25479214629696e-07
lev6,qoi,nn,3,15.909415092123254,0.46775342270960824
lev6,qoi,nn,4,17.479575262616905,0.8682770294330613
lev6,qoi,nn,5,18.754729256260596,0.529543994336786
lev6,qoi,nn,6,19.886590714439063,0.3755539258889765
lev6,qoi,nn,7,21.433241721384228,0.5610737501452722
lev6,qoi,nn,8,21.610978671926706,1.0828448639168482
lev6,qoi,nn,9,20.93777004972596,1.9637920266145474
lev6,qoi_kla,nn,3,0.24658579471534098,0.008536403046175908
lev6,qoi_kla,nn,4,0.27306325796051867,0.0057937584699469255
lev6,qoi_kla,nn,5,0.2941745217305499,0.00715797413420681
lev6,qoi_kla,nn,6,0.30658919100619186,0.00623891361279496
lev6,qoi_kla,nn,7,0.31463449818349964,0.005752463990180858
lev6,qoi_kla,nn,8,0.3187942689999229,0.008043733761107999
lev6,qoi_kla,nn,9,0.33383378816617665,0.007553545891181331
lev6,qoi_sum,nn,3,37.37678159715111,0.7814896878666623
lev6,qoi_sum,nn,4,38.04317682799514,0.6625226569542539
lev6,qoi_sum,nn,5,39.5093564959566,0.9260206104420369
lev6,qoi_sum,nn,6,39.70000734500967,0.592021708828062
lev6,qoi_sum,nn,7,39.07709702857392,0.4739951040219765
lev6,qoi_sum,nn,8,39.57371845662897,0.18470348275441084
lev6,qoi_sum,nn,9,39.844698183642166,0.3826178119788762
lev6,qoi_sum_kla,rbf,3,4.830869504994335,0.10543249459025254
lev6,qoi_sum_kla,rbf,4,4.966668120244677,0.15220367538664611
lev6,qoi_sum_kla,rbf,5,5.111496616028076,0.07325606131503833
lev6,qoi_sum_kla,rbf,6,5.182008623639471,0.0704755723932477
lev6,qoi_sum_kla,rbf,7,5.161792010502566,0.08237835929861465
lev6,qoi_sum_kla,rbf,8,5.252289373978056,0.04793709953939311
lev6,qoi_sum_kla,rbf,9,5.233795924095803,0.04269007121971121
