epoch;step;loss;recons_w_loss;recons_chi_loss
0;0;125.83833;1568.2098;
1;90;119.12332;1544.4556;
2;180;118.20714;1534.5339;
3;270;117.48326;1524.1552;
4;360;116.29438;1506.2623;
5;450;113.43904;1463.6919;
6;540;105.82016;1337.5515;
7;630;93.28303;1187.4576;
8;720;83.73222;1099.7484;
9;810;77.17525;1028.1415;
10;900;70.31882;950.33856;
11;990;63.90094;885.355;
12;1080;59.11607;834.8776;
13;1170;55.19337;790.82214;
14;1260;51.709152;750.7176;
15;1350;48.531906;712.99835;
16;1440;45.61124;677.2564;
17;1530;42.93159;643.8554;
18;1620;40.47751;612.9015;
19;1710;38.220493;584.2395;
20;1800;36.137283;557.70703;
21;1890;34.211063;533.5721;
22;1980;32.430695;511.7822;
23;2070;30.785318;492.17166;
24;2160;29.260561;474.089;
25;2250;27.834948;457.31818;
26;2340;26.497873;441.44037;
27;2430;25.240908;426.26477;
28;2520;24.05869;411.6725;
29;2610;22.944164;397.57147;
30;2700;21.894796;383.9429;
31;2790;20.908304;370.81512;
32;2880;19.979662;358.116;
33;2970;19.105635;346.0556;
34;3060;18.283022;334.57132;
35;3150;17.509531;323.61737;
36;3240;16.781895;313.15686;
37;3330;16.095785;303.12756;
38;3420;15.448344;293.5062;
39;3510;14.837058;284.27454;
40;3600;14.258469;275.40164;
41;3690;13.710763;266.86633;
42;3780;13.1915245;258.64996;
43;3870;12.698425;250.7275;
44;3960;12.229404;243.08154;
45;4050;11.7825;235.69473;
46;4140;11.355529;228.54999;
47;4230;10.946905;221.62993;
48;4320;10.55467;214.91853;
49;4410;10.176861;208.40024;
50;4500;9.811545;202.0589;
51;4590;9.457062;195.88026;
52;4680;9.1124115;189.86058;
53;4770;8.7766485;184.00041;
54;4860;8.449454;178.30603;
55;4950;8.13082;172.79204;
56;5040;7.8219843;167.4665;
57;5130;7.522817;162.33067;
58;5220;7.2337923;157.38263;
59;5310;6.9555;152.62154;
60;5400;6.688512;148.04866;
61;5490;6.4334326;143.66405;
62;5580;6.1906085;139.47333;
63;5670;5.9608583;135.46988;
64;5760;5.7435145;131.6338;
65;5850;5.536595;127.959305;
66;5940;5.339653;124.450165;
67;6030;5.1526465;121.10088;
68;6120;4.9750285;117.90571;
69;6210;4.8062577;114.85868;
70;6300;4.64585;111.95339;
71;6390;4.4935007;109.183365;
72;6480;4.348733;106.54136;
73;6570;4.2111692;104.02071;
74;6660;4.0804415;101.612816;
75;6750;3.9562492;99.30884;
76;6840;3.8382776;97.099174;
77;6930;3.7261941;94.975;
78;7020;3.6196787;92.92906;
79;7110;3.518437;90.95699;
80;7200;3.422225;89.0562;
81;7290;3.3306265;87.22439;
82;7380;3.2432036;85.458694;
83;7470;3.1595433;83.75548;
84;7560;3.0792499;82.11064;
85;7650;3.0019426;80.52003;
86;7740;2.9272597;78.97983;
87;7830;2.8548858;77.48649;
88;7920;2.7845156;76.03677;
89;8010;2.715903;74.62773;
90;8100;2.648867;73.25722;
91;8190;2.5834386;71.923546;
92;8280;2.519352;70.62395;
93;8370;2.4565337;69.356865;
94;8460;2.3950026;68.12065;
95;8550;2.3348327;66.914276;
96;8640;2.2760718;65.736336;
97;8730;2.2187414;64.58583;
98;8820;2.1629148;63.46187;
99;8910;2.108604;62.36346;
100;9000;2.0557904;61.2897;
101;9090;2.0044394;60.239655;
102;9180;1.9545083;59.212486;
103;9270;1.905966;58.207417;
104;9360;1.8587642;57.223717;
105;9450;1.8128493;56.26067;
106;9540;1.7681569;55.317585;
107;9630;1.7246655;54.393776;
108;9720;1.6823142;53.48867;
109;9810;1.6410325;52.601707;
110;9900;1.6008099;51.732376;
111;9990;1.5615861;50.880234;
112;10080;1.5233294;50.044785;
113;10170;1.4860117;49.225674;
114;10260;1.4495753;48.42244;
115;10350;1.414014;47.63486;
116;10440;1.3793068;46.86257;
117;10530;1.3453966;46.1052;
118;10620;1.3122995;45.362465;
119;10710;1.2799797;44.63395;
120;10800;1.248408;43.919415;
121;10890;1.2176037;43.218575;
122;10980;1.1875635;42.53109;
123;11070;1.1582679;41.856686;
124;11160;1.1297171;41.19511;
125;11250;1.1019273;40.546032;
126;11340;1.0749075;39.90917;
127;11430;1.0486232;39.284267;
128;11520;1.0231187;38.67109;
129;11610;0.99836713;38.069355;
130;11700;0.974404;37.47881;
131;11790;0.9512171;36.899197;
132;11880;0.928791;36.33039;
133;11970;0.90714425;35.77216;
134;12060;0.886268;35.224384;
135;12150;0.86616135;34.686844;
136;12240;0.8468003;34.15954;
137;12330;0.82818586;33.642345;
138;12420;0.8103074;33.135136;
139;12510;0.79313123;32.637936;
140;12600;0.77664465;32.150658;
141;12690;0.7608207;31.673283;
142;12780;0.74563396;31.205765;
143;12870;0.7310666;30.748075;
144;12960;0.7170751;30.30013;
145;13050;0.7036462;29.86184;
146;13140;0.6907431;29.433195;
147;13230;0.6783419;29.014042;
148;13320;0.6664097;28.604275;
149;13410;0.65492415;28.203808;
150;13500;0.6438504;27.812466;
151;13590;0.63317174;27.43013;
152;13680;0.6228518;27.056543;
153;13770;0.6128764;26.69166;
154;13860;0.60321915;26.335182;
155;13950;0.5938568;25.987005;
156;14040;0.58477503;25.6469;
157;14130;0.5759428;25.314663;
158;14220;0.5673508;24.990093;
159;14310;0.5589766;24.672935;
160;14400;0.5508016;24.363039;
161;14490;0.54282314;24.06012;
162;14580;0.5350013;23.76398;
163;14670;0.52734894;23.474468;
164;14760;0.5198358;23.191261;
165;14850;0.5124588;22.914188;
166;14940;0.5052023;22.642962;
167;15030;0.49805704;22.377531;
168;15120;0.49102935;22.117561;
169;15210;0.4841104;21.86293;
170;15300;0.47729322;21.613596;
171;15390;0.47058737;21.36934;
172;15480;0.46399155;21.130037;
173;15570;0.45750356;20.895641;
174;15660;0.4511337;20.665916;
175;15750;0.44487113;20.440691;
176;15840;0.43870687;20.219835;
177;15930;0.4326481;20.00325;
178;16020;0.4266987;19.790726;
179;16110;0.42082867;19.582222;
180;16200;0.41506496;19.377663;
181;16290;0.4093888;19.177073;
182;16380;0.40382436;18.98039;
183;16470;0.39835557;18.787584;
184;16560;0.39300245;18.598665;
185;16650;0.38775766;18.4137;
186;16740;0.38264817;18.232584;
187;16830;0.37766626;18.055422;
188;16920;0.37283608;17.882118;
189;17010;0.36801943;17.712671;
190;17100;0.36329216;17.547142;
191;17190;0.3587778;17.385427;
192;17280;0.3545018;17.227379;
193;17370;0.35045683;17.072914;
194;17460;0.3466429;16.921774;
195;17550;0.34305927;16.773933;
196;17640;0.33968726;16.629166;
